!! Abja-Paluoja
Kingu tänav
Kirde tänav
Kiriku tänav
Kitsas tänav
Kivi tänav
Kohtu tänav
Koidu tänav
Komandandi tänav
Kopli tänav
Kotkapoja tänav
Kraavi tänav
Kullerkupu tänav
Kungla tänav
Kuressaare tee
Kuuse tänav
Kõrre tänav
Kõver tänav

Lagle tänav
Lahe tee
Lasteaia tänav
Laugu tänav
Lehe tänav
Liiva tänav
Lillevälja tänav
Loojangu tänav
Lootsi tänav
Lossi tänav
Lossihoov
Lossipark
Luha tänav
Luige tänav
Lydia Koidula tänav

Marientali tee
Martin Körberi tänav
Meierei tänav
Mere tänav
Merikotka tänav
Metsa tänav
Mooni tänav
Muru tänav

Niidu tänav
Nooruse tänav
Nurme tänav
Nõmme tänav

Odra tänav

Pae tänav
Papli tänav
Pargi tänav
Piibelehe tänav
Pihtla tee
Pikk tänav
Põhja tänav
Põik tänav
Pärna tänav

Raekoja tänav
Raiekivi tee
Rehe tänav
Rohu tänav
Roomassaare tee
Roopa tänav
Rootsi tänav

Sepa tänav
Sinilille tänav
Staadioni tänav
Suur-Põllu tänav
Suur-Sadama põik
Suur-Sadama tänav
Suuresilla tänav
Suve tänav
Sügise tänav

Tallinna tänav
Talve tänav
Talve põik
Tolli põik
Tolli tänav
Tori tänav
Torni tänav
Traktori tänav
Transvaali tänav
Turu tänav
Tuule tänav
Töökoja tänav

Uus tänav
Uus-Roomassaare tänav
Uus-Karja tänav

Vahtra tänav
Vana-Roomassaare tänav
Valguse tänav
Vallimaa tänav
Varju tänav
Veski tänav
Vete tänav
Videviku tänav
Vikerkaare tänav
Vuti tänav
Väike-Sadama tänav
Väike-Põllu tänav
Väljaku tänav

Õie tänav

Ülase tänav

!! Lihula
Aia tänav
Allika tänav

Heina tänav
Hiie tänav

Jaama tänav

Kalmu tänav
Karja tänav
Kivi tänav
Kopli tänav

Lasteaia tänav
Lasteaia põik
Linnuse tee

Niidu tänav
Nurme tänav

Metsa tänav
Mulla tänav
Mäe tänav

Nõlva tänav

Oja tänav

Pargi tänav
Penijõe tee
Piiri tänav
Pioneeri tänav
Põllu põik
Põllu tänav
Pärna tänav
Pärnu maantee

Raudtee tänav
Ristiku tänav

Saue tänav
Soo tänav
Sooaluse tee
Staadioni tänav

Tallinna maantee
Tiigi tee
Tööstuse põik
Tööstuse tänav

Uus tänav
Uus-Pärnu maantee

Vahtra tänav
Valuste tee
Valuste põik
Vee tänav
Veski tänav

!! Loksa
Biopuhasti
Gümnaasiumi
Jõe
Lasteaia
Lasteaia 5
Lasteaia — Posti
Lille
Loksa Rand
Loksa Rand 2
Lõuna
Maleva
Metsa
Männi
Nooruse
Nooruse 8
Nooruse — Tallinna
Nurme
Papli
Papli — Tallinna
Pargi
Posti
Posti
Posti — Rohuaia
Posti — Tallinna
Puhkekeskus
Pärna
Pärna — Papli
Ranna
Rohuaia põik
Tallinna 35
Tallinna 39
Tööstuse
Tööstuse põik
Uus

!! Maardu
Aasnurmiku tee
Altmetsa tee
Aruheina tee
Avar tänav
Haigla tänav
Haljasmaa tänav
Hanerohu tee
Haugi tänav
Hellerheina põik
Hellerheina tee
Hiireherne tee
Hiirekõrva tee
Hundiaugu tee
Hundioa tee
Huulheina põik
Huulheina tee
Härgheina tee
Kaalika tee
Kallasmaa tänav
Kallavere tee
Kardheina tee
Karikakra tee
Karitsa tänav
Karjääri tänav
Karpkala tänav
Kassikulla tänav
Kassitatra põik
Kassitatra tee
Keemikute tänav
Keerispea tee
Kellamäe tänav
Kikkaputke tee
Kirsipuu puiestee
Kitsekakra tee
Kivileete tänav
Kivilille tänav
Kogre tänav
Kombinaadi tänav
Kreegipuu puiestee
Kroodi tänav
Kukeharja põik
Kukeharja tee
Kukemarja tee
Kuldvitsa tee
Kuuskheina põik
Kuuskheina tee
Kütte tänav
Küüslaugu tänav
Langu tänav
Laukasoo tänav
Liivakivi tänav
Linaski tänav
Lubika tee
Lupiini tee
Lutserni tee
Lõikheina tee
Maardu tee
Maarjaheina tee
Maltsa tee
Mudamaimu tänav
Murelipuu puiestee
Murulaugu tänav
Murumetsa tänav
Muuga tee
Mäeotsa tänav
Noorte tänav
Nurga tänav
Ohaka tee
Orasheina tee
Oravasaba tee
Orumetsa tänav
Paelrohu tee
Paemurru tänav
Paeseljaku tänav
Paluülase põik
Paluülase tee
Parkheina tee
Peedi tee
Peterselli tänav
Pirnipuu puiestee
Pirnipuu põik
Ploomipuu puiestee
Porgandi tee
Porrulaugu tänav
Putke tee
Põldheina tee
Põldosja tee
Päevakivi tänav
Päevalille tee
Rabakivi tänav
Raiheina tee
Rajaniidu tänav
Raudheina tee
Raudkivi tänav
Raudürdi tee
Rebaseheina põik
Rebaseheina tee
Ringi tänav
Rõikheina tee
Ränikivi tänav
Saha-Loo tee
Saluheina tee
Sibula tee
Sooheina tee
Sookase tänav
Sookolli tänav
Sooputke tee
Soosalu tänav
Spinati tänav
Stardi tänav
Sugapea tee
Sõlmheina tee
Sõõrkakra põik
Sõõrkakra tee
Säina tänav
Tihasheina tee
Tilli tee
Tudra tee
Tuliheina tee
Tõlviku tee
Tähtheina tee
Tähtpea põik
Tähtpea tee
Ubalehe tee
Uus-Muuga puiestee
Vana-Narva maantee
Varsakabja tee
Veehoidla tänav
Veeru tänav
Veriheina tee
Vesiheina tee
Vesiliiva tänav
Vilgukivi tänav
Viljapuu puiestee
Virvatule tänav
Võha tee
Võhumõõga tee
Võikannu tee
Võilille tee
Võtmeheina tee
Vägiheina tee
Väriheina tee
Õisiku tee
Õnneheina tee
Õunapuu puiestee
Äiatari tänav

!! Mõisaküla
Aia tänav

Heinamaa tänav
Heki tänav
Hommiku tänav

Jaama tänav

Kalda tänav
Karjamaa tänav
Kase tänav
Kesk tänav
Kiikre tänav
Kivi tänav
Koidu tänav
Kooli tänav

Lille tänav
Loode tänav

Mäe tänav

Nurme tänav

Paju tänav
Piiri tänav
Posti tänav
Põllu tänav
Pärnu tänav

Raudtee tänav
Riia tänav
Ringpuiestee
Roheline tänav

Soo tänav

Uus tänav

Vabriku tänav
Valga tänav
Viljandi tänav

Õhtu tänav
Õnne tänav

!! Mustvee
Ahvena tänav
Aia tänav

Benito Agirre tänav

Jõe tänav
Järve tänav

Kalda tänav
Kaluri tänav
Kastani tänav
Kivi tänav
Kooli tänav
Kraavi tänav
Kruusa tänav

Liiva tänav
Lille tänav
Lohu tänav

Marja tänav
Metsa tänav

Narva tänav
Nurme tänav
Nurme põik

Pargi tänav
Peipsi tänav
Pihkva tänav
Pihlaka tänav
Põik tänav
Põllu tänav
Pärna tänav

Raudtee tänav
Rohu tänav
Roosi tänav

Sireli tänav
Sputniku tänav

Tartu tänav
Toominga tänav
Tähe tänav

Umb tänav
Uus tänav

Vahtra tänav

Õnne tänav
Õuna tänav

!! Narva
Aasa
Alajaama

Bastrakovi
Betooni

Daumani

Elektrijaama tee
Energia põik
Energia

Fama põik
Fama tänav

Gerassimovi
Gorbatši
Grafovi
Gümnaasiumi

Haigla
Hariduse
Heinaturu

Jaama plats
Jalgratta tee
