!! Abja-Paluoja
Künkamaa
Künnapuu
Künni
Küti
Küüvitsa tee

Laagna tee
Laane
Laanelille
Laaniku
Laboratooriumi
Laeva
Laeva väljak
Laevastiku
Lagedi tee
Lageloo
Lagle puiestee
Lahe
Lahepea
Lahesuu
Lai
Laiaküla tee
Ants Laikmaa
Laine
Laki
Lambi
Lammi
Landi
Laose
Lasnamäe
Laste
Lastekodu
Latika
Laugu
Lauka
Lauliku
Laulu
Laulupeo
Lauri tee
Laurimaa
Lauripere
Ants Lauteri
Lavamaa
Lee
Leediku
Leedri tee
Leegi
Leesika
Leete
Leevikese
Lehe
Lehiku tee
Lehise
Lehiste puiestee
Lehola
Lehtmäe
Lehtpuu
Lehtri tänav
Leigeri
Leina
Leiva
Lelle
Lembitu
Lemle
Lemmiku
Lemmiku põik
Lennujaama tee
Lennuki
Lennusadama
Lennuse
Lepa
Lepa põik
Lepatriinu
Lepiku tee
Lesta
Lible
Liblika
Liikuri
Liilia tee
Liimi
Liinivahe
Liipri
Liiva
Liivaaugu tee
Liivalaia
Liivalao
Liivaluite
Liivamadala
Liivametsa
Liivamäe
Liivaoja
Liivaranna tee
Liiviku
Lille
Lilleherne tee
Lillevälja
Lina
Linda
Lindakivi puiestee
Linnamäe tee
Linnu tee
Linnuse tee
Lobjaka
Lodjapuu tee
Lodumetsa tee
Logi
Lohu
Loigu
Loite
Loitsu
Loo
Loode
Loode põik
Looga
Looklev tee
Loometsa
Loomuse
Loopealse puiestee
Lootsi
Lootuse puiestee
Lootuse põik
Lossi
Lossi plats
Lubja
Luha
Luige
Luise
Luisu
Luite
Luite põik
Luku
Lume
Lumikellukese tee
Lumiku
Lummu
Luste
Lutheri
Lutheri
Lõhe
Lõhmuse tee
Lõhmuse põik
Lõikuse
Lõime
Lõimise
Lõkke
Lõo
Lõokese
Lõosilma
Lõuka
Lõuna
Lõvi
Lõõtsa
Läike
Lätte
Lääne tee
Läänekaare
Läänemere tee
Läätspuu tee
Lühike
Lühike jalg
Lükati tee
Lüli
Lüüsi

Maakri
Maarjaheina
Maarjamäe
Maasika
Madala
Madalmaa
Madara
Madli
Magasini
Magdaleena
Mahla
Mahtra
Mai
Mai põik
Maikellukese tee
Mailase tee
Maimu
Maisi
Majaka
Majaka põik
Male
Maleva
Maleva põik
Malmi
Maneeži
Manufaktuuri
Marana
Marati
Mardi
Mardipere
Marja
Marjamaa
Märjamaa
Marsi
Marta
Martsa
Masina
Masti
Matka tee
Meeliku
Meeruse
Meeta
Mehaanika
Mehaanika põik
Meika
Meistri
Meleka
Mere puiestee
Merelahe tee
Meremehe tee
Merihärja
Merekalju
Merikanni
Merimetsa tee
Merinõela
Merirahu
Meriski
Merivälja tee
Mesika tee
Mesika põik
Mesila
Metalli
Metsa
Metsa põik
Metsakooli tee
Metsakooli põik
Mait Metsanurga
Metsavahi tee
Metsavahi põik
Metsaveere
Metsise
Metsniku tee
Mihkli
Miinisadama
Miku tee
Mineraali
Mingi
Mirta
Moonalao
Mooni
Moora
Moora põik
Moora umbtänav
Mootori
Moskva puiestee
Mugula tee
Muhu
Muldvalge
Mulla
Mulla põik
Mullamaa
Munga
Muraka
Mureli
Muru
Mustakivi tee
Mustamäe tee
Mustasõstra
Mustika
Mustjuure
Mustjõe
Mustjõe põik
Muti
Muuga tee
Muuluka
Mõigu
Mõisa
Mõisapõllu
Mõrra tee
Mõtuse
Mõõna tee
Mäe
Mäealuse
Mäekalda
Mäekõrtsi
Mäeküla
Mäepealse
Mäepere
Mäevälja
Mägra
Mähe tee
Mähe põik
Mähe-Kaasiku tee
Jakob Mändmetsa
Mängu
Männi
Männiku tee
Männiliiva
Männimetsa tee
Männimetsa põik
Mänsaku
Märtsikellukese tee
Möldre tee
Mündi
Müta
Müürivahe

Naadi tee
Naaritsa
Nabra
Naeri
Nafta
Naistepuna tee
Narva maantee
Nata
Neeme
Neeme põik
Neemiku
Neiuvaiba tee
Nelgi
Nepi
Nigli
Niguliste
Niidi
Niidi põik
Niidu tee
Niine
Niine põik
Nirgi
Nisu
Nooda tee
Noole
Noorkuu
Nugise
Nuia
Nulu
Nunne
Nurklik
Nurme
Nurmenuku tee
Nurmiku tee
Nurmiku põik
Nõelasilma
Nõeliku
Nõgikikka
Nõlva
Nõmme tee
Nõmme põik
Nõmme-Kase
Nõo tee
Nõva
Näituse
Näsiniine tee

Oa
Oblika tee
Oda
Odra
Ogaliku
Oja
Ojakääru
Ojaveere
Okka
Oksa
Olevi
Olevi põik
Olevimägi
Oleviste
Oomi
Orase
Orava
Oru
Osja tee
Osmussaare
Oti
Georg Otsa
Otsatalu
Otse

Paabusilma
Paadi
Paagi
Paakspuu tee
Paasiku
Paavli
Paberi
Padriku tee
Padu
Pae
Paekaare
Paekalda
Paekivi
Paepargi
Paevälja puiestee
Pagari
Pagi
Paide
Paiste
Paisu
Paju
Pajude puiestee
Pajulille tee
Pajustiku tee
Pakase
Palderjani tee
Paldiski maantee
Paljandi
Paljassaare tee
Paljassaare põik
Pallasti
Palli
Palu
Paluka
Palusambla
Paneeli
Panga
Papli
Paplite puiestee
Parda
Pardi
Pardiloigu
Pargi
Parmu
Parve
Patriarh Aleksius II väljak
Pebre
Pedaja
Peetri
Pelguranna
Pendi
Pesa
Peterburi tee
Petrooleumi
Pidu
Pihlaka
Pihlamarja
Pihlametsa tee
Piibelehe
Piibri
Piima
Piimamehe
Piipheina tee
Piiri
Piiritsa
Piiskopi
Pikakase
Pikaliiva
Pikk
Pikk jalg
Pikksilma
Pikri
Pikse
Piksepeni
Pille
Pilliroo
Pilve
Pilvetee
Pilviku
Paul Pinna
Pinu
Pirita tee
Pirni
Plaasi
Planeedi
Plangu
Plasti
Ploomi
Pohla
Pojengi tee
Polaari
Poldri
Poordi
Poru
Jaan Poska
Postitalu
Preesi
Prii
Priimula tee
Priimurru
Priisle tee
Printsu tee
Pronksi
Pruuali tee
Puhangu
Puhke
Puhkekodu tee
Puhma
Puju
Puki tee
Pukspuu tee
Punane
Pune tee
Punga
Puraviku
Purde
Purje
Puu
Puusepa
Puuvilja
Puuvilla
Põdra
Põdrakanepi tee
Põdrasambla
Põhja puiestee
Põhjakaare
Põhjakants
Põlde
Põlde põik
Põldma
Põldmarja
Põlendiku
Põllu
Põllu põik
Põllumäe
Põõsa tee
Päevakoera
Päevalille
Pähkli
Päikese puiestee
Pärituule
Pärja
Jakob Pärna
Pärnade puiestee
Pärnamäe tee
Pärnaõie tee
Pärniku tee
Pärnu maantee
Pärnulõuka
Pääsküla
Pääsukese
Pääsusaba
Pääsusilma tee
Pöialpoisi
Pöörise
Pühavaimu
Püssirohu
Püü
Püü põik

Raadiku
Raba
Rabaküla
Rabaveere
Raekoja
Raekoja plats
Raevalla
Rahe
Rahu
Rahu tee
Rahukohtu
Rahumäe tee
Rahvakooli tee
Raiduri tee
Raie
Raja
Rajametsa
Rajapere
Rakise
Raku
Randla
Randvere tee
Rangu
Ranna tee
Rannamõisa tee
Rannamäe tee
Rannaniidu
Ranniku tee
Ranniku põik
Rao
Rapla
Rataskaevu
Ratta
Raua
Raua põik
Kristjan Raua
Rauakooli tee
Raudosja tee
Raudsüdame
Raudtee
Ravi
Ravila
Rebase
Rebasesaba tee
Regati puiestee
Reha
Rehe
Rehe põik
Rehelepa
Rehelepa põik
Reidi tee
Villem Reimani
Ado Reinvaldi
Reisijate
Reketi
Remmelga
Reseeda
Retke tee
Riida
Riisika
Ristaia tee
Risti
Ristiku
Ristiku põik
Rivi
Rocca al Mare
Roheline
Roheline aas
Rohu
Rohula
Rohumaa
Ronga
Roo
Roolahe
Roopa
Roosi
Roosikrantsi
Roostiku
Roseni
Rotermanni
Rukki
Rukkilille tee
Rulkoviuse
Rulli
Rumbi
Rummu tee
Russovi
Rutu
Ruunaoja
Rõika
Rõugu
Rõõmu
Räga
Rähkloo
Rähni
Räime
Räitsaka
Rändrahnu tee
Ränduri
Räni
Räniliiva
Rännaku puiestee
Rästa
Rästa põik
Rätsepa tee
Rävala puiestee
Räägu
Ründi
Rünga
Rüütli

Saadu
Saagi
Saali
Saani
Saare
Saaremaa puiestee
Saarepiiga puiestee
Saarepuu
Saariku tee
Saarma
Saarma põik
Saarvahtra puiestee
Sadama
Saeveski
Sagari
Saha põik
Saha
Saiakang
Sakala
Saku
Salme
Salu tee
Salve
Sambla
Sambliku
Sammu
Sanatooriumi
Sanglepa
Sarapiku tee
Sarapuu
Sarra
Sarruse
Sarve
Saturni
Saue
Sauna
Saviliiva tee
Seebi
Seedri põik
Seedri
Seemne
Seene
Seli puiestee
Selise
Selja
Seljaku
Seltersi
Sepa
Sepapaja
Sepapere
Sepapoisi
Sepise
Septembri
Serva
Side
Siduri
Sihi tänav
Siia
Siidisaba
Siili
Siimeoni
Siire
Sikupilli
Sikuti
Silde
Silgu
Silikaadi
Silikaltsiidi
Silla
Silluse
Silmiku
Silmu
Sinika
Siniladva
Sinilille
Sinimäe
Sininuku
Sinirebase
Sinitiiva
Sipelga
Sirbi
Sireli
Sirge
Sisaski
Sitsi
Juhan Smuuli tee
Sompa tee
Soo
Soodi
Sookailu tee
Sookaskede puiestee
Soolahe tee
Soone põik
Soone
Sooranna
Sootaga
Sooviku
Soovildiku
Soovõha tee
Spordi
Staadioni
Staapli
Suislepa tee
Suitsu
Suitsu põik
Suklema
Sule
Sulevi
Sulevimägi
Sumba
Supluse puiestee
Suru
Suur Rannavärav
Suur-Ameerika
Suurekivi
Suurevälja
Suurgildi plats
Suur-Karja
Suur-Karjamaa tänav
Suur-Kloostri
Suur-Kompassi
Suur-Laagri
Suur-Laevaehituse
Suur-Lasnamäe
Suur-Männiku
Suur-Paala
Suur-Patarei
Suur-Pääsukese
Suur-Raevalla
Suur-Sõjamäe
Suur-Sõjamäe põik
Suur-Söörensi
Suur-Tartu
Suurtüki
Suusa
Suve
Suvila
Sõbra põik
Sõbra
Sõjakooli
Sõle
Sõlme
Sõmera
Sõnajala
Sõpruse puiestee
Sõstra
Sõstramäe
Sõudebaasi tee
Sõõru
Sädeme
Säina
Ernst Särgava allee
Särje
Särjesilma
Sääse
Söe
Söödi
Peeter Süda
Sügise
Sügislase
Süsta
Juhan Sütiste tee

Taagi tee
Taara
Taela
Taevakivi
Taevastiiva
Tagala
Tagamaa tee
Taime
Tala
Talli
Tallinna
Taludevahe
Talve
Talviku
Tambeti
Tamme
Tammede puiestee
Tammepärja
Tammetõru
Tammiku
A. H. Tammsaare tee
Tanuma
Tapri
Tare
Tarja
Tarna
Tartu maantee
Tasandi
Tasuja
Tasuja puiestee
Tatari
Teaduspargi
Teatri väljak
Tedre
Tedre põik
Tedrepere
Teelehe tee
Teelise
Teemeistri
Tehnika
Teisepere
Teivi
Telliskivi
Tendri
Terase
Tervise
Tihase
Tihniku
Tiigi
Tiiru
Tiiu
Tiiva
Tikutaja
Tildri
Tildri põik
Timuti
Tina
Tindi
Tipi tee
Tirdi
Tirgu
Tiskrevälja
Rudolf Tobiase
Tohu
Tolli
Tolmuka tee
Tondi
Tondiraba
Tominga
Toodri tee
Tooma
Toomapere
Toome puiestee
Toome põik
Toomiku tee
Toominga
Toom-Kooli
Toom-Kuninga
Toompea
Toompuiestee
Toom-Rüütli
Toonela tee
Topi
Tormi
Torni
Tornimäe
Torupilli ots
Trahteri
Treiali
Trepi
Trummi põik
Trummi
Truubi
Tselluloosi tänav [viide?]
Tuha
Tuhkpuu tee
Tuhkru
Tuiskliiva tänav
Tuisu
Tuki
Tulbi
Tulekivi
Tuleraua
Tuletorni
Tulika
Tulika põik
Tulimulla
Tuluste
Tulva
Tungla
Tupsi tee
Turba
Tursa
Turu
Turu plats
Turvise
Tuudi
Tuukri
Tuukri põik
Tuulemaa
Tuulemäe
Tuulenurga
Tuuleveski
Tuuliku tee
Tuvi
Tõivu
Tõkke
Tõllu
Tõnismägi
Tõnu
Tõru
Tõrviku
Tõusu tee
Tähe
Tähesaju tee
Tähetorni
Tähistaeva
Täpiku
Töökoja
Tööstuse
Türi
Konstantin Türnpu
Tüve

Ubalehe tee
Udu
Udeselja
Ugala
Uime
Ujuki
Uku
Umboja
Uneliblika
Unistuse
Unna
Urva
Ussilaka tee
Ussimäe tee
Uue Maailma
Uuepere
Uueristi
Uus
Uus-Kalamaja
Uuslinna
Uus-Hollandi
Uus-Maleva
Uus-Sadama
Uus-Tatari
Uus-Tui
Uus-Volta

Vaablase
Vaagi
Vaalu
Vaari
Vaarika
Vaate põik
Vaate tee
Vabaduse puiestee
Vabaduse väljak
Vabarna tee
Vabaõhukooli tee
Vabe
Vabriku
Vaestepatuste
Vahe
Vahepere
Vahtra
Vahtramäe tee
Vahtriku tee
Vahulille tee
Vahuri
Vaigu
Vaikne
Vaimu
Vainu
Vainutalu põik
Vainutalu
Vaksiku
Valdeku
Valge
Valgevase
Valguse
Valguta
Valli
Valukoja
Valve
Vambola
Vana-Kalamaja
Vana-Keldrimäe
Vanakuu
Vana-Kuuli
Vana-Liivamäe
Vana-Lõuna
Vana-Merivälja tee
Vana-Mustamäe
Vana-Posti
Vana-Pärnu maantee
Vana-Tartu maantee
Vanaturu kael
Vana-Umboja
Vana-Veerenni
Vana-Viru
Vana turg
Vanemuise tänav
Vaniku
Vaprate tee
Varblase
Varbola
Varese
Varese põik
Varju tee
Varjulille tee
Varraku
Varre
Varsaallika
Varsaallika põik
Vasara
Vase
Vati
Vedru
Veduri
Vee
Veerenni
Veerenni põik
Veeriku tee
Veerise
Veerme
Veetorni
Vene
Versta
Vesikaare
Vesilennuki
Vesioina
Vesipapi
Vesiravila
Vesiveski
Vesivärava
Veski
Veskilise
Veskimetsa
Veskimäe
Veskiposti
Vesse
Vesse põik
Vete
Viadukti
Videviku
Vibu
Vigla
Vihitaja
Vihu
Vihuri
Viige
Viimsi põik
Viimsi tee
Eduard Viiralti
Viirpuu tee
Viisi
Vikerkaare tänav
Vikerlase
Eduard Vilde tee
Vile
Vilisuu
Viljandi maantee
Villardi
Villkäpa
Villpea
Jüri Vilmsi
Vilu tee
Vimma
Vindi
Vineeri
Vinkli
Virbi
Virmalise
Viru
Viru väljak
Virve
Visase
Vismeistri
Viu
Viu põik
Volta
Voo
Voolu
Voorimehe
Vormsi
Vuti
Võidu
Võidu põik
Võidujooksu
Võistluse
Võlvi
Võra tee
Võrgu
Võrgukivi
Võrse
Võrsiku
Võru
Võsa tee
Võsara
Võsu
Võtme
Vähi
Väike
Väike Rannavärav
Väikese Illimari
Väike-Ameerika
Väike-Erika
Väike-Gonsiori
Väike-Karja
Väike-Karjamaa
Väike-Kloostri
Väike-Kompassi
Väike-Laagri
Väike-Laevaehituse
Väike-Lasnamäe
Väike-Männiku
Väike-Paala
Väike-Patarei
Väike-Pärnu maantee
Väike-Pääsukese
Väike-Raevalla
Väike-Roosikrantsi
Väike-Sõjamäe
Väike-Söörensi
Väike-Tartu maantee
Väina tee
Välgu
Välja
Väo tee
Väomurru
Värava
Värsi
Värvi
Västriku
Vääna
Vööri

August Weizenbergi
Ferdinand Johann Wiedemanni
Wismari

Õhtu
Õie
Õie põik
Õilme
Õismäe tee
Õitse
Õle
Õllepruuli
Õnne
Õpetajate
Õuna

Ädala
Äigrumäe tee
Äkke
Ämariku
Ääre
Ääsi

Ööbiku
Öölase

Ülase
Ülemiste tee
Ülem-Jõe
Ülem-Luha
Üliõpilaste tee
Ümera

!! Tamsalu
A. H. Tammsaare tänav
A. Haava tänav
Alasi tänav

Betooni tänav

Energia tänav

G. Lurichi tänav

Heina tänav

Kalmistu põik
Kandle tänav
Kase tänav
Kesk tänav
Koidu tänav
Kolde tänav
Kooli tänav
Kungla tänav
Kändliku tänav

Laane tänav
Lubja tänav

Metsa tänav
Mäe tänav

Niidu tänav
Nurme tänav
Nõlva tänav

O. Müntheri tänav

Paide maantee
Pargi tänav
Piiri tänav
Põllu tänav
Pärna tänav
Pääsukese tänav

Rahu tänav
Rahu põik
Raudtee tänav

Saare tänav
Sireli tänav
Sireli põik
Sõpruse tänav

Tamme tänav
Tehase tänav
Tehnika tänav
Toome tänav
Toome põik
Tähise tänav
Tähise põik
Tööstuse tänav

Uus tänav
Uus põik

Vahtra tänav
Vasara tänav

Ääsi tänav

!! Tapa
Aasa tänav
Aia tänav
Ambla maantee

Depoo tänav

Eduard Vilde tänav
Eha tänav
Ehituse tänav

Hiie tänav
Hommiku puiestee
Hundi tänav

Ivaste tänav

Jaani tänav
Jakobi tänav

Kabala tänav
Kalda tänav
Kalevi tänav
Karja tänav
Kase tänav
Kastani tänav
Kauba tänav
Kauba põik
Kesk tänav
Kevade tänav
Kiire tänav
Kitsas tänav
Kivi tänav
Kivilo tänav
Koidu tänav
Kooli tänav
Kuke tänav
Kuu tänav
Kuusiku tänav
Künka tänav
Küüni tänav

Laane tänav
Lai tänav
Lasketiiru tänav
Lehtse tee
Leina tänav
Lembitu puiestee
Lepiku tänav
Liblika tänav
Lille tänav
Linda tänav
Loode tänav
Lõuna tänav

Maie tänav
Malle tänav
Metsa tänav
Metsa põik
Männiku tänav
Männikumäe tänav

Nooruse tänav

Paide maantee
Paju tänav
Pargi tänav
Pargi põik
Pihlaka tänav
Piiri tänav
Pikk tänav
Päikese tänav
Põllu tänav
Pärna tänav
Pääsukese tänav

Rahu tänav
Rakvere tee
Rauakõrve tee
Ristiku tänav
Roheline tänav
Rooba tänav

Sauna tänav
Side tänav
Spordi tänav
Suve tänav
Sügise tänav

Taara puiestee
Turu maantee
Tähe tänav
Tööstuse tänav

Uus tänav

Vabriku tänav
Vahtra tänav
Valgejõe puiestee
Valve tänav
Veski tänav
Virve tänav
Võidu puiestee
Väike tänav
Väike-Põllu tänav
Välja tänav

Õhtu puiestee
Õie tänav
Õuna tänav

Ööbiku tänav

Ülesõidu tänav
Üleviste tänav

!! Tartu
Aardla
Aardlavälja
Aasa
Adra
Aianduse
Aiaääre
Aida
Akadeemia
Akvarelli
Alasi
Aleksandri
Alevi
Allika
Anne
Annemõisa
Arbi
P. Areni
Arhitekti
Aroonia
Aru
Arukase
Aruküla tee
Astri

K. E. von Baeri
Bajadeeri
Betooni
Bordoo

Eha
Ehitaja
A. Elleri
Elulõnga
Elva
Emajõe
Era

Filosoofi
B. G. Forseliuse
Fortuuna

Gildi

A. Haava
Haki
Haraka
Heina
Heki
K. A. Hermanni
Herne
J. W. F. Hezeli
Hiie
Hipodroomi
Hobuseraua tänav
Hommiku
J. Hurda

Ida
Ihaste põik
Ihaste tee
Ilmatari
Ilmatsalu

Jaama
Jaamamõisa
Jaani
Jakobi
C. R. Jakobsoni
Jalaka
Jalakakuru
Jalakakuru põik
J. V. Jannseni
A. Johani
Jõe
Jänese

Kaare
Kabeli
Kadaka
Kalda tee
Kalevi
Kalmistu
Kaluri
Kanarbiku
Kannikese
Kapsa
Kapteni
Karikakra
Karmiini
Kartuli
Kasarmu
Kase
Kase põik
Kasesalu
Kastani
Kasteheina
Kauba
Kauna tänav
Kaunase puiestee
Kesa
Kesa põik
Kesakanni
Kesk
Kesk kaar
Kibuvitsa
Kiigemäe
Kiire
Killustiku
Kingu
Kirde
Kirsi
Kitsas
E. Kitse
A. Kitzbergi
Kivi
Klaasi
Kloostri
Kodukolde
Koidu
L. Koidula
Koidutähe
Kolde
Kompanii
A. Kongo
Kooli
J. Koorti
Kopli
Kotka
Kraavi
Kraavikalda
Kreegi
Kressi
F. R. Kreutzwaldi
Kroonuaia
Kruusa
Kruusakuru
Kruusamäe
Kruusavälja
Kuldnoka
Kuljuse
Kullerkupu
Kummeli
Kungla
J. Kuperjanovi
Kure
Kuru
Kuu
Kuuse
Kvartsi
Kvissentali põik
Kvissentali tee
E. Kõksi
Kõrvitsa
Käbi
Käo
Käo põik
Künni
Küüni
Küütri

Laane
Ladva
Lai
A. Laigo
Lammi
Lao
Laseri
Laulupeo puiestee
Leegi
Leesika
Leete
Leevikese
Lehe
Lehola
Lembitu
Lemmatsi
Lemmatsi põik
Lepa
Lepalinnu
Lepiku
K. Liimandi
Liiva
Liivakuru
Liivamäe
J. Liivi
Lille
Lina
Linda
Linnu
Loode
Lootsi
Lootuse
Lossi
Lubja
Luha
Luige
Luigelahe
Lumimarja
N. Lunini põik
N. Lunini tänav
Lutsu
Lõhmuse
Lõkketule
Lõo
Lõuendi
Lõuna
Lääne
Lüübeki

Maarjaturg
Maasika
Madruse
Magasini
Magistri
Maisi
Malmi
Marja
Marta
V. Melliku
Meloni
Mesika
Metalli
Metshaldja
Metshirve
Molberti
Mooni
H. Mugasto
Munga
Muraka
Mureli
Muru
Muuluka
Muuseumi tee
Mõisavahe
Mäe
Männi
Männimetsa tee

Narva maantee
Nelgi
Nigula
Niidu
Nisu
Nooruse
Nurme
Nõlvaku
Nõmme
Nõmmeliiva
Nõva
Näituse
Näsiniine

Oa
Odra
Oksa
Ookri
Optika
Orava
V. Ormissoni
Oru
W. Ostwaldi

Paju
Palderjani
Pallase puiestee
Palsami
Palusambla
Papli
Pargi
Pastelli
Peedu
Peetri
Peetriturg
Pepleri tänav
Pihlaka
Piima tänav
Piiri
Pikk
Pintsli
Piparmündi
Pirni
Pirni põik
Pliiatsi
Ploomi
Poe
Pohla
Pootsmani
Promenaadi
Puhkekodu
Puidu
Puiestee
Punga
Purde
Purpuri
L. Puusepa
Põhja puiestee
Põhjatamme puiestee
Põhjatähe
Põik
Põldmarja
Põllu
Päeva
Pärna
Pääsukese
Pääsusilma

Raatuse
Raekoja plats
Raeremmelga
Rahu
Raja
Ranna puiestee
Ranna tee
Rannakajaka
Raua
Raudtee
Ravila
Rebase
Remmelga
Riia
Ringtee
Risti
Ristiku
Rohu
Roopa
Roosi
Ropka
Ropka tee
Ropkamõisa
Rukki
Rukkilille
Rõõmu tee
Räni
Räni põik
Ränikivi
Rästa
Räägu
Rüütli

Saare
Sadama
Saekoja
Saialille
Sakala
Salme
Salutähe
Sambla
Sanatooriumi
Sangla
Sangviini
Sarapuu
Sassi
Sauna
Savi
Selleri
Sepa
Sepakuru tänav
Sepavälja tänav
Sepikoja tänav
Side
Sihi
Siili
Sinika
Sinilille
Sirbi
Sirbi kaar
Sireli
Soinaste
Soola
Staadioni
A. Starkopfi
W. Struve
Supelranna
Surnuaia
Suur kaar
Sõbra
Sõnajala
Sõpruse puiestee
Säde
Sälu

Taara puiestee
Talutare
Tamme puiestee
Tamme põik
Tammekuru
Tammekuru põik
Tammelehe
Tammeoksa
Tammepärja
Tammetõru
Tammeõie
Tammiku
A. H. Tammsaare
Tasuja
Tedre
Teelehe
Teguri
Tehase
Tehnika
Tempera
Tervise
Tervishoiu
Tihase
Tiigi
Timuti
L. Tolstoi
Toominga
N. Triigi
F. Tuglase
Tulbi
Tulika
Tungla
Turu
Tuule
Tuvi
J. Tõnissoni
Tõrviku
Tähe
Tähtvere
Tüve
Tüürimehe

Ujula
Ultramariini
Uppsala
Urva
Uueturu
Uus

Vaarika
Vaba
Vabaduse puiestee
A. Vabbe
Vabriku
Vahe
Vahi
Vahi põik
Vahtra
Vaikne
Vainu
Vaksali
Vallikraavi
Vambola
Vanemuise
Vao
Vapramäe
A. Vardi
Variku
Varju
Varsa
Vasara
Vasara põik
Vase tänav
Kuno Veeberi tänav
Veeriku tänav
Vene
Veski
Vikerkaare
Vilja
Viljandi maantee
Vindi tänav
Vitamiini
Voolu
Võru
Võruvälja
Väike kaar
Väike-Emajõe tänav
Väike-Sepa
Väike-Turu
Väike-Tähe
Välja
Välu
Västriku

E. Wiiralti

Õhtu
Õie
Õllemeistri
Õnne
Õpetaja
Õuna

Ääsi

Öö
Ööbiku

Ülase
Ülenurme
Ülikooli
Ümera

!! Tõrva
Aasa tänav
Aia tänav
Aida tänav
Araku tänav

Ehitaja tänav

Herne tänav

Jaani tänav
Jõe tänav
Järve tänav

Kaarlimäe tänav
Kalda tänav
Kalevi tänav
Kalmistu tänav
Kanarbiku tee
Kangro tänav
Karja tänav
Kase tänav
Keisripalu tänav
Kevade tänav
Kitsas tänav
Kitse tänav
Koidu tänav
Kooli tänav
Kopli tänav
Kruusa tänav
Kungla tänav
Kuusiku tänav

Lauka tänav
Lembitu tänav
Liiva põik
Liiva tänav
Loosi tänav
Luha tänav
Lõuna tänav

Madise tänav
Metsa tänav
Mäe tänav
Männiku tänav

Nooruse tänav
Nurme tänav
Nõmme tänav

Oa tänav
Oja tänav
Oru tänav

Palu tänav
Pargi tänav
Patküla tänav
Piima tänav
Pikk tänav
Puiestee tänav
Põllu tänav
Pärna tänav

Raba tänav
Raja tänav
Raudtee tänav
Ravila tänav
Riiska tänav
Ringi tänav
Roosi tänav

Spordi tänav
Staadioni tänav
Sõpruse tänav

Tamme tänav
Tammiku tänav
Tartu tänav
Tiigi tänav
Tikste tänav
Transpordi tänav
Tööstuse tänav

Umb tänav

Vahtra tänav
Valga tänav
Vanamõisa tänav
Veski tänav
Viljandi tänav
Võlli tänav
Väike-Aia tänav
Väike-Vahtra tänav
Välja tänav

Õhne tänav

!! Türi
Aia tänav
Aiamaa tänav
A.Kurrikoffi tänav
Allika tänav
Anna Haava tänav

Eduard Vilde tänav

F.R.Kreutzwaldi tänav
F.J.Wiedemanni tänav

Hariduse tänav
Heina tänav

Jaama tänav
Jõe tänav

Kaare tänav
Kalda tänav
Kalevi tänav
Kastani tänav
Kevade tänav
Kohtu tänav
Kraavi tänav
Kooli tänav
Kungla tänav
Küti tänav

Lai tänav
Lembitu tänav
Liiva tänav
Lille tänav
Linnu tänav
Loode tänav
Luha tänav
Lutsu tänav
Lõuna tänav
Lydia Koidula tänav
Lydia Koidula põik

Marjamaa tänav
Marjamaa põik
Mehaanika tänav
Metsa tänav
Mäe tänav
Mäekalda tänav
Mäekalda põik
Männiku tänav

Nooruse tänav
Nõmme tänav
Näituse tänav

Ollivere tänav

Paide tänav
Paju tänav
Pargi puiestee
Pikk tänav
Puiestee tänav
Põhja-Puiestee tänav
Põik tänav
Põllu tänav
Päikese tänav
Pärna tänav

Raadiojaama tänav
Raja tänav
Raua tänav
Ravila tänav
Raudtee tänav
Ristiku tänav
Roheline tänav
Rohu tänav
Roopa tänav

Savi tänav
Staadioni tänav
Suur-Puiestee tänav
Sõpruse tänav

Tallinna tänav
Tehnika tänav
Telliskivi tänav
Tiigi tänav
Tolli tänav
Tsemendi tänav
Turuplatsi tänav
Tähe tänav

Uus tänav

Vabaduse tänav
Vabriku tänav
Vabriku puiestee
Vainu tänav
Vambola tänav
Vanemuise tänav
Viljandi tänav
Väike-Pärnu tänav

!! Valga
Alfred Neulandi tänav
Aasa tänav
Aia tänav
Allika tänav
Andrese tänav
Antsla tänav
Astra tänav

Ernst Enno tänav
Edela tänav
Eha tänav
Energia tänav

Haava tänav
Haru tänav
Heina tänav
Herne tänav
Hiie tänav
Hommiku tänav
Hämariku tänav

Iirise tänav
Ilmajaama tänav

Jaama puiestee
Jakobi tänav
Julius Kuperjanovi tänav
Järve tänav
Jõe tänav

Kadaka tänav
Kaevu tänav
Kagu tänav
Kalda tänav
Kalevi tänav
Kanepi tänav
Karja tänav
Kase tänav
Kesk tänav
Kesva tänav
Kevade tänav
Kibuvitsa tänav
Kirde tänav
Kirsipuu tänav
Koidu tänav
Kolde tänav
Kreegi tänav
Kreegipuu tänav
Kullerkupu tänav
Kungla tänav
Kuuse tänav
Köie tänav

Laatsi tänav
Lai tänav
Leiva tänav
Lembitu tänav
Lepa tänav
Liiva tänav
Lille tänav
Loode tänav
Luha tänav
Lõuna tänav
Lühike tänav

Maasika tänav
Maleva tänav
Mee tänav
Mesipuu tänav
Metsa tänav
Muru tänav
